province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,diploma_type,year,male,female
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,2013,113,69
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,2014,116,79
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,2015,94,72
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,2011,30,19
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,2012,43,14
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,2013,41,34
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,2014,62,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,2015,56,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,2011,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,2012,3,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,2013,129,105
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,2014,118,125
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,2015,92,99
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,2011,49,20
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,2012,44,24
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,2013,53,34
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,2014,54,31
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,2015,66,29
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,2011,183,137
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,2012,144,126
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,2013,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,2014,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,2015,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,2011,8,32
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,2012,8,40
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,2013,8,27
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,2014,8,49
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,2015,6,39
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,2011,13,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,2012,18,16
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,2013,12,17
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,2014,12,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,2015,8,29
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,2011,86,278
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,2012,65,285
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,2013,80,283
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,2014,65,281
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,2015,54,244
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,2011,42,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,2012,34,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,2013,30,27
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,2014,40,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,2015,30,16
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,2011,19,290
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,2012,6,224
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,2013,8,210
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,2014,4,173
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,2015,4,183
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,2011,20,50
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,2012,28,51
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,2013,20,28
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,2014,31,43
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,2015,17,47
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,2011,19,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,2012,21,17
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,2013,21,24
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,2014,22,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,2015,26,24
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,2011,33,22
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,2012,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,2013,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,2014,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,2015,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,2011,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,2012,37,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,2013,45,14
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,2014,41,15
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,2015,38,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60132,M Social and Cultural Science: Comparative Research on Societies (research),voltijd onderwijs,master,wo master,2011,7,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60132,M Social and Cultural Science: Comparative Research on Societies (research),voltijd onderwijs,master,wo master,2012,0,7
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60132,M Social and Cultural Science: Comparative Research on Societies (research),voltijd onderwijs,master,wo master,2013,5,5
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60132,M Social and Cultural Science: Comparative Research on Societies (research),voltijd onderwijs,master,wo master,2014,6,5
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60132,M Social and Cultural Science: Comparative Research on Societies (research),voltijd onderwijs,master,wo master,2015,2,4
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60203,M Political Science,voltijd onderwijs,master,wo master,2011,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60203,M Political Science,voltijd onderwijs,master,wo master,2012,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60203,M Political Science,voltijd onderwijs,master,wo master,2013,25,11
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60203,M Political Science,voltijd onderwijs,master,wo master,2014,27,14
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60203,M Political Science,voltijd onderwijs,master,wo master,2015,15,20
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60253,M Anthropology and Development Studies,voltijd onderwijs,master,wo master,2011,3,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60253,M Anthropology and Development Studies,voltijd onderwijs,master,wo master,2012,6,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60253,M Anthropology and Development Studies,voltijd onderwijs,master,wo master,2013,1,15
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60253,M Anthropology and Development Studies,voltijd onderwijs,master,wo master,2014,5,17
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60253,M Anthropology and Development Studies,voltijd onderwijs,master,wo master,2015,7,22
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60260,M Psychologie,voltijd onderwijs,master,wo master,2011,76,218
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60260,M Psychologie,voltijd onderwijs,master,wo master,2012,71,255
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60260,M Psychologie,voltijd onderwijs,master,wo master,2013,40,210
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60260,M Psychologie,voltijd onderwijs,master,wo master,2014,43,240
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60260,M Psychologie,voltijd onderwijs,master,wo master,2015,59,250
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60266,M Behavioural Science (research),voltijd onderwijs,master,wo master,2011,10,29
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60266,M Behavioural Science (research),voltijd onderwijs,master,wo master,2012,5,31
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60266,M Behavioural Science (research),voltijd onderwijs,master,wo master,2013,9,24
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60266,M Behavioural Science (research),voltijd onderwijs,master,wo master,2014,6,32
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60266,M Behavioural Science (research),voltijd onderwijs,master,wo master,2015,11,15
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,duaal onderwijs,master,wo master,2011,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,duaal onderwijs,master,wo master,2012,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,duaal onderwijs,master,wo master,2013,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,duaal onderwijs,master,wo master,2014,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,duaal onderwijs,master,wo master,2015,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,voltijd onderwijs,master,wo master,2011,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,voltijd onderwijs,master,wo master,2012,0,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,voltijd onderwijs,master,wo master,2013,34,25
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,voltijd onderwijs,master,wo master,2014,37,32
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),60466,M Human Geography,voltijd onderwijs,master,wo master,2015,38,35
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,2011,10,11
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,2012,9,10
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,2013,7,7
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,2014,9,5
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66601,M Sociologie,voltijd onderwijs,master,wo master,2015,7,8
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,2011,14,14
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,2012,10,8
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,2013,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,2014,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),66606,M Politicologie,voltijd onderwijs,master,wo master,2015,0,0
